placa,data_hora,link_maps
NOE5787,2026-08-02 18:43:58,"https://www.google.com/maps?q=-5.8750212,-35.3353351"
NOE5787,2026-08-02 19:03:19,"https://www.google.com/maps?q=-5.6966617,-35.2388801"
NOE5787,2026-08-02 19:08:15,"https://www.google.com/maps?q=-5.6966617,-35.2388801"
RQL8B81,2026-08-16 15:10:43,"https://www.google.com/maps?q=-5.8839126,-35.2306194"
RQL8B81,2026-08-19 04:40:56,"https://www.google.com/maps?q=-5.8749604,-35.3353768"
RQL8B81,2026-09-01 22:07:58,"https://www.google.com/maps?q=-5.8750448,-35.3354116"
